,Price,Levy,Manufacturer,Model,Age Of Car,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
34,24462,906.8381278879118,JEEP,Grand Cherokee,13,4,1,1,3.0 Turbo,250000,6,2,0,4-5,0,1,10
35,23235,707.0,HYUNDAI,Santa FE,9,4,1,1,2,162000,4,0,1,4-5,0,7,4
36,51746,1077.0,TOYOTA,CHR Limited,1,4,0,5,2,10200,4,2,1,4-5,0,11,12
37,7527,1486.0,HONDA,FIT,10,3,0,2,1.3,158000,4,0,1,4-5,1,1,4
38,19121,531.0,HYUNDAI,Elantra,8,9,1,5,1.6,103490,4,0,1,4-5,0,12,4
40,24462,751.0,TOYOTA,Camry,7,9,1,5,2.4,203200,4,0,1,4-5,0,2,4
41,45734,1091.0,HYUNDAI,H1,4,10,1,1,2.5,61057,4,0,1,4-5,0,1,4
42,20165,650.0,VOLKSWAGEN,Jetta,4,9,1,5,1.4 Turbo,11200,4,2,1,4-5,0,1,8
43,21326,382.0,HYUNDAI,Sonata,6,9,1,2,2.4,141000,4,2,1,4-5,0,14,12
46,15681,503.0,TOYOTA,Prius C,8,3,0,2,1.5,128000,4,3,1,4-5,0,13,8
47,55390,1017.0,HYUNDAI,Santa FE,3,4,1,1,2,100734,4,0,1,4-5,0,1,4
48,12544,906.8381278879118,TOYOTA,Aqua,8,3,0,2,1.5,141500,4,0,1,4-5,1,1,8
49,17249,906.8381278879118,FORD,Escape Hybrid,12,4,0,2,2.3,147000,4,3,0,4-5,0,14,8
50,34889,891.0,HONDA,Civic,4,9,1,5,2,87768,4,0,1,4-5,0,2,4
52,14583,906.8381278879118,RENAULT,Megane 1.5CDI,12,9,0,1,1.5 Turbo,132542,4,1,1,4-5,0,14,10
54,38500,639.0,AUDI,Q5,6,4,1,5,2,87000,1,2,0,4-5,0,14,12
55,8781,906.8381278879118,MERCEDES-BENZ,C 180,19,1,0,5,2,260000,4,1,2,2-3,0,2,0
56,87112,906.8381278879118,MERCEDES-BENZ,GLA 250,1,4,1,5,2.0 Turbo,5323,4,2,0,4-5,0,7,0
57,1411,629.0,NISSAN,Juke,5,4,1,5,1.6,87112,4,0,0,4-5,0,1,0
59,23521,781.0,CHEVROLET,Cruze LT,2,9,0,5,1.4 Turbo,22000,4,0,1,4-5,0,11,6
60,16935,530.0,FORD,Fusion,7,9,0,5,1.6 Turbo,83000,4,2,1,4-5,0,12,8
61,10349,906.8381278879118,TOYOTA,VOXY,13,7,1,5,2.4,170000,4,0,1,4-5,1,1,6
62,7213,530.0,NISSAN,Juke,7,4,1,5,1.6,312118,4,0,1,4-5,0,1,0
63,5331,906.8381278879118,MERCEDES-BENZ,A 160,16,9,0,5,1.6,130000,4,2,1,4-5,0,1,6
64,20526,640.0,HYUNDAI,Tucson,7,4,1,1,2,200279,4,0,1,4-5,0,7,4
65,9722,765.0,HYUNDAI,Sonata,5,9,1,4,2,719847,4,0,1,4-5,0,8,4
66,34657,777.0,HYUNDAI,H1,6,7,1,1,2.5,154672,4,0,1,4-5,0,12,4
67,36564,1091.0,HYUNDAI,H1,4,7,1,1,2.5,110969,4,0,1,4-5,0,1,4
69,5488,906.8381278879118,TOYOTA,Vitz,19,3,0,5,1.5,210000,4,1,1,4-5,1,13,3
70,30063,934.0,HYUNDAI,H1,5,10,1,1,2.5,148105,4,0,1,4-5,0,12,4
71,15800,769.0,CHEVROLET,Captiva,9,4,1,1,2.2,255456,4,0,1,4-5,0,12,4
72,43952,1249.0,HYUNDAI,H1,3,10,1,1,2.5,111643,4,0,1,4-5,0,7,4
73,53154,891.0,HYUNDAI,Santa FE,4,4,1,1,2,84506,4,0,1,4-5,0,12,4
74,14740,645.0,TOYOTA,Prius,9,3,0,2,1.8,288000,4,0,1,4-5,0,14,8
75,42337,906.8381278879118,FORD,Mustang,4,0,1,5,2.3 Turbo,75000,4,2,2,2-3,0,12,6
76,3763,1053.0,MERCEDES-BENZ,ML 350,6,4,1,5,3.5,94362,6,0,2,4-5,0,14,12
77,18189,906.8381278879118,TOYOTA,Prius,8,9,0,5,1.8,175000,4,0,1,4-5,0,12,8
80,5645,1324.0,TOYOTA,Highlander,10,4,1,2,3.3,264877,6,0,0,4-5,0,14,12
81,7527,830.0,TOYOTA,Yaris,1,9,1,5,1.5,27656,4,0,1,4-5,0,14,12
82,21953,1187.0,HONDA,Civic,6,9,0,2,1.4,16000,8,0,0,4-5,1,14,10
83,8154,906.8381278879118,HONDA,Cr-v,22,4,0,5,2,0,4,0,0,4-5,1,14,2
84,21953,781.0,TOYOTA,Camry,8,9,0,5,2.5,195053,4,0,1,4-5,0,1,0
85,19121,531.0,HYUNDAI,Elantra,8,9,1,5,1.6,121362,4,0,1,4-5,0,1,4
86,36065,639.0,HYUNDAI,Santa FE,6,4,1,1,2,69191,4,0,1,4-5,0,14,4
87,8781,1111.0,HONDA,FIT,8,3,1,2,1.3,83000,4,2,1,4-5,1,6,12
88,6247,760.0,CHEVROLET,Cruze,10,9,1,5,1.8,40772,4,0,1,4-5,0,1,4
89,16289,642.0,CHEVROLET,Orlando,8,4,1,1,2,172000,4,0,1,4-5,0,7,4
90,77775,1604.0,MERCEDES-BENZ,GL 63 AMG,6,4,1,5,5.5,433811,8,0,0,4-5,0,1,10
91,2822,906.8381278879118,BMW,520 Vanos,25,9,1,5,2,350000,6,1,2,4-5,0,2,2
93,6981,1095.0,DAEWOO,Lacetti,12,9,1,5,2,103246,4,0,1,4-5,0,1,4
94,27284,891.0,HYUNDAI,Elantra,4,9,0,5,2,105394,4,2,1,4-5,0,1,12
95,32929,906.8381278879118,BMW,428 Sport Line,7,1,1,5,2.0 Turbo,160000,4,0,2,2-3,0,1,12
96,18817,906.8381278879118,NISSAN,Patrol,30,4,0,1,2.8 Turbo,333333,4,1,2,4-5,0,1,0
97,4234,906.8381278879118,HONDA,Civic,23,3,1,5,1.4,0,4,1,1,2-3,0,2,6
98,15053,906.8381278879118,MERCEDES-BENZ,E 320,16,9,1,5,3.2,214000,6,2,2,4-5,0,7,8
99,15458,966.0,HYUNDAI,Genesis,11,1,1,5,2,123346,4,0,1,4-5,0,1,4
100,2901,473.0,CHEVROLET,Cruze,6,9,1,5,1.4,80827,4,0,1,4-5,0,6,12
103,15681,1811.0,LEXUS,GX 460,10,4,1,5,4.6,275240,8,0,0,4-5,0,12,0
104,26657,906.8381278879118,MERCEDES-BENZ,Sprinter,16,6,0,1,2.2 Turbo,300000,4,1,2,4-5,0,14,1
105,10663,988.0,TOYOTA,Prius,13,3,0,5,1.5,318400,4,0,1,4-5,0,12,6
106,12858,765.0,FORD,Focus SE,5,9,0,5,2,91200,4,0,1,4-5,0,13,10
107,1019,917.0,BMW,X5,7,4,1,1,3,137802,6,0,0,4-5,0,1,12
109,12858,906.8381278879118,KIA,Picanto,4,3,0,5,1.2,107000,4,1,1,4-5,0,12,2
110,15000,906.8381278879118,BMW,328,12,9,1,0,3,210408,6,2,2,4-5,0,14,12
111,85553,1156.0,FORD,Explorer,3,4,1,5,2.3,100567,4,0,1,4-5,0,1,4
112,44752,1091.0,HYUNDAI,H1,4,10,1,1,2.5,86000,4,0,1,4-5,0,7,4
113,17158,687.0,HYUNDAI,Elantra,10,9,1,5,1.6,122740,4,0,1,4-5,0,14,4
114,12231,906.8381278879118,MITSUBISHI,Airtrek,15,4,0,4,2.4,144000,4,2,0,4-5,1,14,16
115,11917,11714.0,MERCEDES-BENZ,E 500 AMG,17,9,1,5,5,150000,12,2,2,4-5,1,14,12
116,1254,906.8381278879118,MITSUBISHI,Lancer,23,9,0,5,1.3,100000,4,1,2,4-5,0,11,0
118,25591,640.0,SSANGYONG,Korando,7,4,1,1,2,85704,4,0,1,4-5,0,12,4
119,14897,836.0,HYUNDAI,Santa FE,10,4,1,1,2,58962,4,0,1,4-5,0,14,4
120,23521,779.0,TOYOTA,Camry,7,9,1,2,2.5,90000,4,2,1,4-5,0,14,12
121,3450,906.8381278879118,RENAULT,Clio,25,3,0,5,1.2,50000,3,1,1,2-3,0,6,0
123,1019,1537.0,TOYOTA,Highlander,11,9,1,2,3.3,318358,6,0,0,4-5,0,1,12
124,16935,765.0,FORD,Fusion,5,9,1,5,2,71454,4,0,1,4-5,0,1,0
125,19444,781.0,TOYOTA,Camry,8,9,1,5,2.5,0,4,2,1,4-5,0,1,6
126,11604,639.0,HYUNDAI,Sonata,6,9,1,4,2,346470,4,0,1,4-5,0,12,4
127,51965,891.0,HYUNDAI,Santa FE,4,4,1,1,2,59515,4,0,1,4-5,0,2,4
129,9408,906.8381278879118,MERCEDES-BENZ,C 220,21,9,0,1,2.2 Turbo,111111,4,1,2,4-5,0,12,4
130,13328,1347.0,HYUNDAI,H1,12,7,1,1,2.5,74444,4,0,1,4-5,0,15,4
131,17876,906.8381278879118,NISSAN,Serena,8,7,0,5,2,143000,4,2,1,4-5,1,14,12
133,20071,906.8381278879118,TOYOTA,RAV 4,12,4,0,5,2.4,135000,4,0,0,4-5,0,12,8
134,22894,862.0,HYUNDAI,H1,9,7,1,1,2.5,124444,4,0,1,4-5,0,15,4
135,2901,503.0,HONDA,Civic,8,9,1,2,1.5,146403,4,0,1,4-5,0,14,0
136,15681,906.8381278879118,MITSUBISHI,Pajero,23,4,0,5,2.4,142000,4,0,0,2-3,0,2,6
137,39829,1811.0,LEXUS,GX 460,10,4,1,5,4.6,155821,8,0,0,4-5,0,1,0
139,18660,906.8381278879118,HYUNDAI,Sonata,7,9,1,5,2.4,130000,4,2,1,4-5,0,1,6
140,22580,1017.0,MERCEDES-BENZ,E 300,3,9,1,5,2,50930,4,0,2,4-5,0,1,12
141,11604,639.0,HYUNDAI,Sonata,6,9,1,4,2,264872,4,0,1,4-5,0,12,4
143,5488,751.0,GMC,TERRAIN,7,4,1,5,2.4,138958,4,0,1,4-5,0,1,12
144,4300,906.8381278879118,MERCEDES-BENZ,208,35,10,0,1,2.5,1111111,4,1,2,4-5,0,1,1
145,18817,609.0,TOYOTA,Camry,2,9,1,2,2.5,35058,4,0,1,4-5,0,14,12
146,21169,697.0,HONDA,Hr-v EX,5,4,0,5,1.8,33330,4,0,0,4-5,0,7,8
147,9095,906.8381278879118,FIAT,500,9,1,0,5,1.2,141000,4,0,1,2-3,1,11,4
148,1568,639.0,VOLKSWAGEN,Jetta,6,9,1,1,2,82392,4,0,1,4-5,0,12,12
149,3136,906.8381278879118,SUBARU,Legacy,15,2,0,5,2.0 Turbo,180000,6,2,0,4-5,1,2,6
150,17876,585.0,HYUNDAI,Elantra sport limited,7,9,1,5,1.8,117920,4,2,1,4-5,0,7,12
151,11290,891.0,HYUNDAI,Sonata,4,9,1,4,2,279787,4,0,1,4-5,0,12,4
152,36065,1399.0,TOYOTA,Sienna,10,7,1,5,3.5,227200,6,2,1,4-5,0,14,16
154,21395,781.0,HYUNDAI,H1,8,10,1,1,2.5,166144,4,0,1,4-5,0,12,4
155,15681,891.0,HYUNDAI,Sonata,4,9,1,4,2,258706,4,0,1,4-5,0,12,4
157,40070,690.0,TOYOTA,Aqua,4,3,1,5,1.5,25807,4,0,1,4-5,0,1,4
158,11917,906.8381278879118,MERCEDES-BENZ,A 170,12,3,0,5,1.7,180000,4,0,1,4-5,0,5,8
159,72130,1079.0,LEXUS,NX 300,2,4,1,5,2.0 Turbo,18918,4,2,1,4-5,0,1,6
160,35927,640.0,SSANGYONG,REXTON,7,4,1,1,2,137267,4,0,1,4-5,0,12,4
161,21012,308.0,TOYOTA,Prius,6,9,0,2,1.8,160000,4,0,0,4-5,0,14,4
162,21012,1823.0,TOYOTA,Tacoma,2,9,1,5,3.5,27358,6,0,1,4-5,0,7,12
163,13172,1361.0,KIA,Carnival grand,11,7,1,1,2.9,84176,4,0,1,4-5,0,14,6
164,15624,707.0,HYUNDAI,Genesis,9,1,1,5,2,107005,4,0,1,4-5,0,7,4
165,4547,906.8381278879118,OPEL,Vectra,23,9,0,5,1.6,15000,4,1,1,4-5,0,0,2
166,5488,1273.0,INFINITI,QX60,5,4,1,5,3.5,124154,6,0,0,4-5,0,1,12
167,20005,531.0,HYUNDAI,Elantra,8,9,1,5,1.6,104997,4,0,1,4-5,0,14,4
168,36110,924.0,VOLKSWAGEN,Passat,3,9,1,5,1.8,27728,6,2,1,4-5,0,12,8
169,7840,906.8381278879118,MERCEDES-BENZ,E 240 E 240,22,9,1,5,2.4,777777,6,1,2,4-5,0,2,4
171,1300,906.8381278879118,AUDI,50,2,1,1,5,0.5,4000,1,2,2,>5,1,2,0
172,43880,891.0,HYUNDAI,Santa FE,4,4,1,1,2,113700,4,0,1,4-5,0,12,4
173,29479,584.0,MERCEDES-BENZ,C 250,6,9,1,5,1.8 Turbo,69000,4,2,2,4-5,0,7,8
174,17249,906.8381278879118,TOYOTA,Camry,9,9,1,2,2.5,152000,4,3,1,4-5,0,14,12
175,9408,906.8381278879118,TOYOTA,Vitz funkargo,17,10,0,5,1.5,181926,4,0,0,4-5,1,12,2
176,44213,891.0,HYUNDAI,Santa FE,4,4,1,1,2,50255,4,0,1,4-5,0,11,4
177,8467,2078.0,BMW,325,19,9,1,5,2.5,252800,6,1,2,4-5,0,7,6
179,21950,831.0,FORD,Transit,9,2,0,1,2.4 Turbo,125000,4,1,0,4-5,0,14,2
181,3136,473.0,CHEVROLET,Cruze,6,9,1,5,1.4,156992,4,0,1,4-5,0,1,12
182,3450,906.8381278879118,OPEL,Vectra,25,9,0,0,2,0,4,1,1,4-5,0,14,2
183,9408,906.8381278879118,MITSUBISHI,Pajero,22,4,0,5,3.5 Turbo,11000,6,2,0,4-5,1,12,4
184,31500,906.8381278879118,NISSAN,Pathfinder,10,4,1,4,4,90200,6,2,0,4-5,0,1,12
185,20385,906.8381278879118,MITSUBISHI,Delica,15,7,1,5,3,184000,6,0,0,4-5,1,14,12
187,2300,906.8381278879118,VOLKSWAGEN,Golf,24,9,0,0,2,0,4,1,1,4-5,0,6,0
188,7840,906.8381278879118,MERCEDES-BENZ,Vaneo,16,10,0,4,1.9,170000,4,2,1,4-5,0,12,4
189,56450,906.8381278879118,TOYOTA,Camry Se,2,9,1,5,2.5,25000,4,2,1,4-5,0,2,12
190,1490,639.0,VOLKSWAGEN,Jetta,6,10,1,1,2,113214,4,0,1,4-5,0,7,12
193,13172,906.8381278879118,HONDA,Cr-v,18,4,0,5,2.4,260000,4,0,0,4-5,0,12,6
194,19757,906.8381278879118,NISSAN,Patrol Y60,30,4,0,1,2.8 Turbo,222222,4,1,2,4-5,0,1,0
195,4704,917.0,AUDI,A7,7,3,1,5,3,301707,6,0,0,4-5,0,7,0
197,5802,1055.0,MERCEDES-BENZ,E 350,7,9,1,1,3.5,107800,6,0,2,4-5,0,7,12
198,25716,777.0,TOYOTA,Camry,6,9,0,5,2.5,115200,4,0,1,4-5,0,12,8
199,14426,642.0,CHEVROLET,Orlando,8,4,1,4,2,132036,4,0,1,4-5,0,14,4
200,10820,906.8381278879118,TOYOTA,RAV 4,19,4,0,5,2,91000,4,0,0,2-3,1,12,4
201,45436,1172.0,FORD,Explorer,9,4,1,5,3.5,129177,4,0,1,4-5,0,14,4
202,11917,893.0,HYUNDAI,I30,12,3,0,1,1.6,201000,4,1,1,4-5,0,1,8
203,41281,765.0,HYUNDAI,Santa FE,5,4,1,1,2,185811,4,0,1,4-5,0,1,4
204,4391,906.8381278879118,NISSAN,Altima,22,9,0,5,2.4,358400,4,1,1,4-5,0,3,2
205,3058,1872.0,PORSCHE,Cayenne,2,9,1,5,3.6,28968,6,0,0,4-5,0,14,12
206,3700,906.8381278879118,ALFA ROMEO,147,19,1,1,5,1.8,240000,4,1,1,2-3,0,1,4
207,15681,906.8381278879118,SUZUKI,Grand Vitara,12,4,0,5,1.6,98000,4,0,0,2-3,0,1,12
208,6586,645.0,LEXUS,CT 200h,9,3,1,2,1.8,122302,4,0,1,4-5,0,1,0
209,12544,906.8381278879118,TOYOTA,Prius,13,3,0,2,1.5,140000,4,0,1,4-5,0,0,6
210,30063,639.0,HYUNDAI,Tucson,6,4,1,1,2,120000,4,0,1,4-5,0,14,4
211,72130,1885.0,PORSCHE,Panamera,10,3,1,5,4.8,196800,8,2,0,4-5,0,14,8
212,21639,906.8381278879118,HYUNDAI,Veloster,5,3,0,5,1.6,17200,4,2,1,2-3,0,11,10
213,36692,906.8381278879118,TOYOTA,RAV 4 XLE Sport,7,4,0,5,2.5,120000,4,2,1,4-5,0,14,0
215,12231,1266.0,TOYOTA,Aqua,6,3,0,2,1.5,66000,4,3,1,4-5,1,12,4
216,3136,906.8381278879118,TOYOTA,Sienta,16,9,0,5,1.5,300000,4,3,1,4-5,1,0,4
217,10663,906.8381278879118,TOYOTA,Prius,11,9,1,2,1.8,230000,4,3,1,4-5,0,7,6
218,5620,447.0,HONDA,FIT,7,3,1,5,1.3,110467,4,0,1,4-5,0,14,4
219,19130,2148.0,MERCEDES-BENZ,CLS 550,10,9,1,5,5.5,157000,4,0,1,4-5,0,7,10
220,9408,1111.0,HONDA,FIT,8,3,0,2,1.3,64000,4,3,1,4-5,1,1,4
222,15367,640.0,VOLKSWAGEN,Passat,7,9,1,1,2.0 Turbo,179200,4,2,1,4-5,0,14,16
223,5959,1730.0,CHEVROLET,Avalanche,9,9,1,5,5.3,246976,8,0,1,4-5,0,1,12
224,26594,777.0,HYUNDAI,H1,6,7,1,1,2.5,179918,4,0,1,4-5,0,12,4
225,36065,779.0,TOYOTA,Avalon LIMITED,7,9,1,2,2.5,92200,4,2,1,4-5,0,0,12
226,26343,730.0,KIA,Cerato K3,4,9,1,1,1.6 Turbo,29000,4,2,1,4-5,0,12,8
228,6000,906.8381278879118,JEEP,Grand Cherokee,27,4,0,5,4,240000,6,0,0,4-5,0,6,5
229,40142,1811.0,LEXUS,GX 470,10,4,1,5,4.6,357246,8,0,0,4-5,0,7,0
230,14000,585.0,HYUNDAI,Elantra,7,9,0,5,1.8,50000,4,2,1,4-5,0,7,10
231,17923,473.0,CHEVROLET,Cruze,6,9,1,5,1.4,127842,4,0,1,4-5,0,14,4
232,54518,831.0,HYUNDAI,Tucson,3,4,1,5,1.6,40193,4,0,1,4-5,0,1,4
233,10349,906.8381278879118,OPEL,Astra G,17,3,0,5,1.6,180000,4,1,1,4-5,0,12,6
234,8154,906.8381278879118,TOYOTA,Ist,18,3,0,5,1.3,115000,4,0,1,4-5,1,12,7
236,7527,640.0,VOLKSWAGEN,Passat,7,9,1,1,2,132310,4,0,1,4-5,0,7,12
237,3450,1249.0,TOYOTA,Camry,3,9,1,5,2.5,60762,4,0,1,4-5,0,14,12
238,22063,836.0,HYUNDAI,Tucson,10,4,1,1,2,142264,4,0,1,4-5,0,14,4
239,2901,503.0,HONDA,Civic,8,9,1,2,1.5,146403,4,0,1,4-5,0,14,0
240,4704,585.0,TOYOTA,Corolla,7,9,1,5,1.8,227371,4,0,1,4-5,0,12,12
241,5331,906.8381278879118,VOLKSWAGEN,Passat,18,9,1,5,2.8,175000,6,1,1,4-5,0,7,6
243,16900,502.0,HONDA,FIT,7,3,1,5,1.5,70000,4,0,1,4-5,0,2,4
244,18189,906.8381278879118,NISSAN,Rogue,10,4,1,5,2.5,122000,4,0,0,4-5,0,12,4
245,5331,906.8381278879118,MAZDA,MPV,20,7,0,5,2.5,127000,4,0,1,4-5,0,6,4
246,42651,1017.0,MERCEDES-BENZ,GLA 250,3,4,1,5,2,44995,4,0,0,4-5,0,1,0
247,15524,586.0,TOYOTA,Prius,8,3,0,2,1.8,122324,4,0,1,4-5,0,11,7
248,17249,906.8381278879118,BMW,530,13,9,1,5,3,111111,6,2,2,4-5,0,7,10
249,73071,906.8381278879118,LEXUS,GS 350,7,9,1,5,3.5,56000,6,2,2,4-5,0,1,12
251,28909,831.0,HYUNDAI,Elantra,3,9,1,1,1.6,98000,4,0,1,4-5,0,14,4
252,8467,642.0,HYUNDAI,Sonata,8,9,1,4,2,573249,4,0,1,4-5,0,1,4
254,14426,639.0,HYUNDAI,Sonata,6,9,1,4,2,169024,4,0,1,4-5,0,14,4
255,9000,1325.0,VOLKSWAGEN,Sharan,9,7,0,5,1.4,126000,4,0,1,4-5,1,12,6
256,30734,1053.0,MERCEDES-BENZ,E 350,6,9,1,1,3.5,200179,6,0,0,4-5,0,1,12
257,22580,779.0,TOYOTA,Camry,7,9,1,5,2.5,156666,4,0,1,4-5,0,1,12
259,7464,247.0,HONDA,FIT,6,3,1,2,1.3,114950,4,0,1,4-5,0,2,4
260,1333,1091.0,FORD,Fusion,4,9,1,5,2.5,154850,4,0,1,4-5,0,1,12
261,59865,879.0,HYUNDAI,Tucson,1,4,1,1,1.6,13000,4,0,1,4-5,0,14,4
262,49237,1342.0,TOYOTA,Tacoma,3,4,1,5,2.7,94262,4,0,2,4-5,0,14,12
263,68223,1327.0,HYUNDAI,H1,2,10,1,1,2.5,27406,4,0,1,4-5,0,15,4
265,7683,906.8381278879118,NISSAN,Tiida,14,9,1,0,1.8,200000,4,3,1,4-5,0,12,2
266,22266,906.8381278879118,FORD,Fusion,7,9,1,5,1.6 Turbo,85500,4,0,1,4-5,0,1,8
267,2430,1598.0,MERCEDES-BENZ,E 350,12,9,1,1,3,175614,6,0,2,4-5,0,1,12
270,33556,765.0,MERCEDES-BENZ,C 300,5,9,1,5,2,0,4,0,2,4-5,0,1,12
271,39161,831.0,SSANGYONG,Actyon,3,4,1,1,1.6,73000,4,0,1,4-5,0,14,4
272,16308,906.8381278879118,FORD,Transit,12,6,0,1,2.2,180000,4,1,1,4-5,0,14,2
273,17719,906.8381278879118,TOYOTA,Camry,11,9,1,2,2.4,92000,4,2,1,4-5,0,13,8
274,43278,1514.0,LEXUS,GX 460,9,4,1,5,4.6,160138,8,0,0,4-5,0,14,0
276,20385,738.0,CHEVROLET,Cruze,3,9,0,5,1.4 Turbo,42000,4,2,1,>5,0,1,12
278,49858,1077.0,HYUNDAI,Tucson,1,4,1,1,2,48000,4,0,1,4-5,0,14,4
279,8781,906.8381278879118,NISSAN,Elgrand,22,7,1,1,3.2 Turbo,230000,4,0,0,4-5,1,14,4
281,9722,765.0,HYUNDAI,Sonata,5,9,1,4,2,582376,4,0,1,4-5,0,8,4
282,21326,906.8381278879118,MERCEDES-BENZ,CLS 500,14,9,1,5,5,2000,8,0,2,4-5,0,7,12
283,51075,1017.0,HYUNDAI,Tucson,3,4,1,1,2,40800,4,0,1,4-5,0,14,4
284,15241,707.0,HYUNDAI,Genesis,9,1,1,5,2,117492,4,0,1,4-5,0,7,4
285,2587,382.0,FORD,Fusion,5,9,1,2,2,88795,4,0,1,4-5,0,1,0
286,15524,1347.0,HYUNDAI,H1,12,7,1,1,2.5,56769,4,0,1,4-5,0,12,4
287,27911,906.8381278879118,MERCEDES-BENZ,C 250,6,9,1,5,1.8 Turbo,70000,4,2,2,4-5,0,0,8
288,4861,779.0,TOYOTA,Camry,7,9,1,2,2.5,136861,4,0,1,4-5,0,2,12
289,29793,906.8381278879118,MERCEDES-BENZ,S 350,15,9,1,5,3.5,263000,4,0,2,4-5,0,1,0
290,18208,531.0,HYUNDAI,Elantra,8,9,1,5,1.6,95665,4,0,1,4-5,0,7,4
293,34497,779.0,TOYOTA,RAV 4 Le,7,4,0,5,2.5,65350,4,2,1,4-5,0,14,12
294,6272,1522.0,OPEL,Zafira,20,2,0,5,1.8,130000,4,1,1,4-5,0,12,0
295,4924,1282.0,CHEVROLET,Captiva,13,4,1,1,2,183923,4,0,1,4-5,0,12,4
296,4704,906.8381278879118,OPEL,Vectra b,20,3,0,1,2.0 Turbo,11111,4,1,1,4-5,0,11,2
297,43576,1091.0,HYUNDAI,H1,4,10,1,1,2.5,97129,4,0,1,4-5,0,12,4
298,7840,906.8381278879118,MERCEDES-BENZ,C 200,19,9,1,0,2,140000,4,1,2,4-5,0,1,4
299,28225,1079.0,TOYOTA,CHR,2,4,0,5,2,24000,4,0,1,4-5,0,7,8
301,2352,906.8381278879118,MAZDA,323,22,3,0,5,1.5,300000,4,1,1,4-5,0,12,2
302,18817,738.0,CHEVROLET,Cruze,3,3,1,5,1.4,29094,4,0,1,4-5,0,7,0
303,4861,382.0,FORD,Fusion,5,9,1,2,2,148709,4,0,1,4-5,0,11,12
304,13172,1399.0,LEXUS,RX 450,10,4,1,2,3.5,186005,6,0,0,4-5,0,12,12
305,37320,1055.0,MERCEDES-BENZ,E 350 ამგ,7,9,1,5,3.5,156800,4,2,0,4-5,0,1,12
307,39201,456.0,TOYOTA,Camry,5,9,1,2,2.5,35000,4,0,1,4-5,0,7,10
308,36426,880.0,HYUNDAI,Elantra,2,9,1,4,1.6,35643,4,0,1,4-5,0,14,4
309,8467,906.8381278879118,HONDA,Civic,14,3,0,5,1.8,250000,4,1,1,4-5,1,7,4
